source,price,beds,baths,sqft,neighborhood,days_ago,is_stale,link,title,image_url,image_urls,region,fair_value,pct_under,score,freshness_boost,final_score,rank
Craigslist,900,0,0.0,,Junction Area,5,False,https://www.craigslist.org/view/d/toronto-room-for-rent-international/6tWLCVjP3DVJAT6kcweLDa,Room for rent International Students/Professionals w/ Priv Balcony.,,[],West End,3500.0,74.28571428571429,1.0,0.15,1.15,1.0
Craigslist,900,0,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-bachelor-apartment-on-trendy/gtPZ6ZAba3KxNgEwKnT1eg,Bachelor Apartment On Trendy King St W,,[],Downtown,2421.153846153846,62.82764098490866,0.8457567055660781,0.15,0.9957567055660781,2.0
Craigslist,950,0,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-downtown-house-furnished-room/465Uz1CGHCDZp9rjFrVmRG,Downtown house  furnished room all utilities+ wifi near Uof T(,,[],Downtown,2421.153846153846,60.762509928514696,0.8179568644223132,0.15,0.9679568644223132,3.0
Craigslist,2300,1,0.0,,Bay Street Corridor,5,False,https://www.craigslist.org/view/d/37-grosvenor/db9co7zgCQmvbKqmLZKB3L,"37 GROSVENOR STREET,1BED,1BATH,BALCONY,DOWNTOWN TORONTO",,[],Downtown,4487.25,48.74366259958772,0.6561646888406039,0.15,0.8061646888406039,4.0
Kijiji,2250,0,0.0,671.0,St.Andrew-Windfields,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-in-the-distillery-for-rent/1739884086,Condo in the Distillery for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a6/a6d9a3a4-bd8e-4177-a754-97d6c523ddc5?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a6/a6d9a3a4-bd8e-4177-a754-97d6c523ddc5?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/72/7240ab48-d959-492c-bd5d-121b8b067401?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/0a/0acd4087-ee2a-4edb-9359-f3d76f19d4f3?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5c/5c0dd216-5c53-4626-bc2f-2d5c8a4b5be7?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2d/2d92a5d1-978d-47fd-8f95-0efd7da332a3?rule=kijijica-200-jpg']",Scarborough,4124.5,45.44793308279792,0.6117990991915103,0.15,0.7617990991915103,5.0
Craigslist,1200,0,0.0,,TORONTO,5,False,https://www.craigslist.org/view/d/toronto-privado-basement-studio-cerca/7uQf1MpSQ7a9gPYs39vUSd,PRIVADO BASEMENT STUDIO CERCA DEL SUBWAY,,[],Downtown,2097.5,42.789034564958286,0.5760062345282846,0.15,0.7260062345282846,6.0
Kijiji,1100,1,0.0,720.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-newly-renovated-1-bedroom-apartment-for-rent-aug-1-2026/1739482518,Luxury Newly renovated 1 bedroom apartment for rent - Aug/1/2026,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b4/b4d588c5-0192-40a5-8277-c4d832c1503c?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b4/b4d588c5-0192-40a5-8277-c4d832c1503c?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/6b/6b6d5534-0ccf-4d92-8f78-88fc98c4005f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/77/7710a61f-c444-4e25-8fa9-3f196a155533?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1f/1fed56b2-7e91-461e-b1dd-8984c6fd048c?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/43/43c6ef45-88f0-40a7-a2a4-020dc131d7f4?rule=kijijica-200-jpg']",Scarborough,1876.7826086956522,41.38905620164019,0.5571603719451563,0.15,0.7071603719451564,7.0
Craigslist,1300,1,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-1bed-apt-to-rent-in-toronto/fqfY5tJUfWkn47azCpvjFm,1bed apt to rent in Toronto,,[],Downtown,2180.769230769231,40.38800705467372,0.543684710351377,0.15,0.693684710351377,8.0
Kijiji,1200,1,0.0,199.0,Lansing-Westgate,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/small-tasty-basement-apartment-in-the-bathurst-wilson-area/1740188414,Small tasty basement apartment in the Bathurst Wilson area.,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/af/afb65840-c7ff-4921-abab-e74f92f81cc1?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/af/afb65840-c7ff-4921-abab-e74f92f81cc1?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d3/d350710b-1458-455b-8550-69078496ffd6?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a6/a60f3b3c-29fd-4a3e-8e15-92b689c32f45?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/16/164e819b-5d4d-45ea-adc7-b15c5aebffd3?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/34/34a49db8-41ed-4fb5-b534-486395c8a6ff?rule=kijijica-200-jpg']",Downtown,1966.6666666666667,38.983050847457626,0.5247718383311603,0.15,0.6747718383311603,9.0
Craigslist,1100,0,0.0,,South Parkdale,5,False,https://www.craigslist.org/view/d/toronto-airconditioned-bachelor-for/5tsp1nEcM3dcNQSLQUnaPN,Airconditioned bachelor for rent. Rent inclusive.,,[],West End,1800.0,38.88888888888889,0.5235042735042735,0.15,0.6735042735042736,10.0
Craigslist,1650,2,0.0,,Etobicoke West Mall,5,False,https://www.craigslist.org/view/d/etobicoke-bedroom-apt-in-house-not/nCjxMvtcys7JSeSs8FVQpE,2 bedroom apt in a house (not a basement) - Etobic...,,[],Etobicoke,2675.0,38.31775700934579,0.5158159597411933,0.15,0.6658159597411933,11.0
Craigslist,1600,0,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/york-modern-fully-furnished-basement/sxutFrQzN7pAYnADr7w7oa,"Modern, Fully-Furnished Basement Apartment, Includes Utilities",,[],Downtown,2421.153846153846,33.91580619539317,0.45655892955336963,0.15,0.6065589295533697,12.0
Craigslist,2400,3,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-bedroom-furnished-apartment/gcC5XP1Dg95MTP4BYKJMYo,3 bedroom furnished apartment,,[],Downtown,3625.0,33.793103448275865,0.45490716180371354,0.15,0.6049071618037135,13.0
Craigslist,1475,0,0.0,,Woburn,5,False,https://www.craigslist.org/view/d/scarborough-one-bedroom-lower-level/pnspLpH1hEvHJLg3LcV7HF,One Bedroom Lower Level,,[],Scarborough,2225.0,33.70786516853933,0.45375972342264476,0.15,0.6037597234226447,14.0
Craigslist,1200,0,0.0,,South Parkdale,5,False,https://www.craigslist.org/view/d/toronto-bachelor-studio-apartments-with/jqV7jhGWrYjJpRuM3wVJiV,BACHELOR/STUDIO APARTMENTS WITH PRIVATE ENTRANCE IN A HOUSE,,[],West End,1800.0,33.33333333333333,0.4487179487179486,0.15,0.5987179487179486,15.0
Kijiji,1150,0,0.0,150.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent/1740344851,Bachelor apartment for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/22/227dc443-8a69-4932-9555-163dac86ec11?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/22/227dc443-8a69-4932-9555-163dac86ec11?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/0f/0f0673ac-75c3-4974-a800-f7f295f923af?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/6f/6fcb1903-9895-491d-b805-567a305ed1ef?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e3/e316005b-ed4a-46f9-81a7-5f33b4e872ba?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3d/3df24c02-8a12-4b76-b846-414fc6d34627?rule=kijijica-200-jpg']",Scarborough,1700.5263157894738,32.37387805632931,0.435802204604433,0.15,0.585802204604433,16.0
Kijiji,1950,2,0.0,650.0,Toronto,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment-for-rent/1740244229,Basement apartment for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d9/d96254ee-901c-4913-b250-9f30d1ae613a?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d9/d96254ee-901c-4913-b250-9f30d1ae613a?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/9c/9c8e6081-6eed-4282-9b82-6bf3e8e8a761?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/67/6753dfb8-d390-4ece-9c39-a8fab6f6dc8f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/16/16ae54a1-f4ce-4de0-9d4c-091f85cdb4e4?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/15/157c21d7-691e-4c59-b332-a12de403bfc9?rule=kijijica-200-jpg']",Downtown,2883.3333333333335,32.369942196531795,0.43574922187638954,0.15,0.5857492218763896,17.0
Craigslist,1675,0,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-bright-cosy-basement-apartment/tJa6JUHF5gBREGfoQ8hQxg,Bright Cosy Basement Apartment - Sorauren,,[],Downtown,2421.153846153846,30.818109610802225,0.4148591678377222,0.15,0.5648591678377222,18.0
Craigslist,950,0,0.0,,Lansing-Westgate,5,False,https://www.craigslist.org/view/d/north-york-charming-junior-bachelor/oge3KroF8Hn1MS4TjNLz4Z,Charming Junior Bachelor Basement Apartment Near Dufferin & Lawrence,,[],Downtown,1366.6666666666667,30.487804878048784,0.4104127579737336,0.15,0.5604127579737336,19.0
Craigslist,1600,1,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-gorgeous-bedroom-at-the-wyatt/eMehTadhnfFn6UhQ49kejW,Gorgeous 1 Bedroom At The Wyatt By Daniels with Large Balcony,,[],Downtown,2180.769230769231,26.63139329805997,0.3584995251661919,0.15,0.5084995251661919,20.0
Craigslist,1250,0,0.0,,Agincourt North,5,False,https://www.craigslist.org/view/d/toronto-380-davenport-rd-studio-1bath/qj9dghkeKjHr1iA1CGoaDB,"380 DAVENPORT RD. #5 - STUDIO/1BATH, MINUTES TO TTC!",,[],Scarborough,1700.5263157894738,26.49334571340143,0.35664119229578845,0.15,0.5066411922957884,21.0
Craigslist,1400,0,0.0,,Wychwood,5,False,https://www.craigslist.org/view/d/toronto-909-palmerston-ave-lower-studio/aVvPjqAv85gQYPt3wzbhd6,"909 PALMERSTON AVE., LOWER - STUDIO/1BATH, SHARED YARD, *FREE UTLS*",,[],Downtown,1900.0,26.31578947368421,0.35425101214574894,0.15,0.504251012145749,22.0
Craigslist,1750,0,0.0,,Richmond hill,5,False,https://www.craigslist.org/view/d/richmond-hill-richmond-hill-yonge-major/2Vq5vywFNHvZc4rk6GteeA,Richmond hill (Yonge/Major Mackenzie)Spacious two bedrooms basement,,[],,2350.0,25.53191489361702,0.3436988543371522,0.15,0.4936988543371522,23.0
Craigslist,1400,1,0.0,,Agincourt North,5,False,https://www.craigslist.org/view/d/york-26-rockvale-ave-bsmt-bed-1bath/oTVhVSj6eX42fM41jaZLve,"26 ROCKVALE AVE., BSMT - 1 Bed/1Bath, Parking, Laundry, Shared Yard",,[],Scarborough,1876.7826086956522,25.40425334754205,0.3419803335246045,0.15,0.49198033352460446,24.0
Craigslist,2100,1,0.0,,Palmerston-Little Italy,5,False,https://www.craigslist.org/view/d/toronto-1bedroom-1bathroom-bathurst/19aPnVXp2pVBhWvCipoeXh,1Bedroom 1Bathroom // Bathurst & College,,[],Downtown,2800.0,25.0,0.3365384615384615,0.15,0.4865384615384615,25.0
Craigslist,2000,2,0.0,,Agincourt North,5,False,https://www.craigslist.org/view/d/york-127-scarlett-rd-updated-2bed-1bath/iRhM785M1yZUL5heduLoZP,"127 SCARLETT RD. #4 - UPDATED 2BED/1BATH, PARKING,UTLS FREE!",,[],Scarborough,2650.95,24.55534808276278,0.3305527626525759,0.15,0.48055276265257585,26.0
Craigslist,2000,0,0.0,,Etobicoke West Mall,5,False,https://www.craigslist.org/view/d/etobicoke-one-bdrm-apt-in-house-ground/pr3p7QpefDj73JCsTq1xg1,"One bdrm apt in a house, ground level (not a basement) - Etobicoke",,[],Etobicoke,2649.5,24.514059256463483,0.3299969515293161,0.15,0.4799969515293161,27.0
Craigslist,2200,1,0.0,,Entertainment District/Harbourfront,5,False,https://www.craigslist.org/view/d/toronto-bedroom-bathroom-library/ihAhGs6hpZ25aaUSSBAT29,"1 Bedroom, 1 Bathroom - Library District Condos",,[],Downtown,2833.3333333333335,22.35294117647059,0.3009049773755656,0.15,0.45090497737556556,28.0
Craigslist,2900,3,0.0,,Birchcliffe-Cliffside,5,False,https://www.craigslist.org/view/d/scarborough-stunning-bedroom-unit-main/2fqHdftFo93jbvVNTdbnKC,Stunning  3 Bedroom Unit (Main & Upper Flrs) Warden & Danforth,,[],East End,3725.0,22.14765100671141,0.29814145585957663,0.15,0.44814145585957665,29.0
Craigslist,3550,1,0.0,,Bay Street Corridor,5,False,https://www.craigslist.org/view/d/downtown-toronto-all-inclusive-21/hbXE1aNMeXk4uGvX1Tvdyc,"All inclusive 2+1 Bedroom, 2 Bathroom - Matrix Condos",,[],Downtown,4487.25,20.886957490668003,0.2811705816051462,0.15,0.4311705816051462,30.0
Kijiji,1350,0,0.0,,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/green-meadows-apartments-bachelor-apartment-for-rent/1728407496,Green Meadows Apartments - Bachelor Apartment for Rent,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/25/25826f26-fa59-4407-99c3-154217322e97?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/25/25826f26-fa59-4407-99c3-154217322e97?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/33/33937bcf-d6a2-43ab-9e52-f8e52b8e5242?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/92/92e26f33-5133-474e-82a6-373359f9be19?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/4a/4a51d497-585a-4adf-99b6-a14e1d6e74ea?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/82/82483955-61bd-4dc8-a8bf-acbf92eac46a?rule=kijijica-200-jpg']",Scarborough,1700.5263157894738,20.61281337047354,0.27748017998714375,0.15,0.4274801799871437,31.0
Kijiji,2300,2,0.0,800.0,Toronto,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-2-bedroom-apartment-for-rent/1740115301,Beautiful 2 bedroom apartment for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/62/62d77029-2d07-42ce-bded-8a7c8b0094d2?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/62/62d77029-2d07-42ce-bded-8a7c8b0094d2?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/6d/6d4340c7-74c1-4083-a5f0-e71e97f5663e?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/22/2204455e-3944-40a2-b7c1-8f955135f34b?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ab/ab42d998-8de9-49fd-9b9e-fc1785533849?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f2/f224ffa8-afff-416c-9ac9-cb3e96cff565?rule=kijijica-200-jpg']",Downtown,2883.3333333333335,20.231213872832374,0.2723432636727435,0.15,0.42234326367274344,32.0
Craigslist,2995,2,0.0,,Bay Street Corridor,5,False,https://www.craigslist.org/view/d/toronto-386-yonge-st-bed-2bath-laundry/wof1YpCYtAJMUKxXaHesLX,"386 YONGE ST. 1816 - 2BED/2BATH, LAUNDRY, PARKING, BALCONY",,[],Downtown,3699.285714285714,19.038424406256034,0.25628648239190815,0.15,0.4062864823919081,33.0
Kijiji,1400,0,0.0,500.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/batchelor-apartment-for-rent/1740281341,Batchelor Apartment for Rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4b/4bf81cab-c653-49a3-a1ba-a4712a3a984f?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4b/4bf81cab-c653-49a3-a1ba-a4712a3a984f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5a/5a02dfea-162f-49c8-b559-6c80436237fb?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3e/3e7cc241-76ff-40ef-bce7-85fb3ba3715f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d0/d0dabdba-70c9-493e-98fd-d9b9e27930fd?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/48/4811e877-a39f-4ed1-b321-bf835f1b9fd1?rule=kijijica-200-jpg']",Scarborough,1700.5263157894738,17.672547199009596,0.23789967383282146,0.15,0.3878996738328214,34.0
Craigslist,1550,1,0.0,,Agincourt North,5,False,https://www.craigslist.org/view/d/toronto-829-pape-ave-bsmt-junior-1bed/q8HBE6SUzNRpC4GKMT5thn,"829 PAPE AVE. BSMT - JUNIOR 1BED/1BATH, LAUNDRY, GREAT LOCATION",,[],Scarborough,1876.7826086956522,17.411851920492982,0.23439031431432858,0.15,0.3843903143143286,35.0
Craigslist,2000,0,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/toronto-basement-for-rent/8Nz2j5iKzmWxSWqTYZFds9,Basement for Rent,,[],Downtown,2421.153846153846,17.394757744241463,0.23416020040325045,0.15,0.38416020040325044,36.0
Craigslist,1280,1,0.0,,Woburn,5,False,https://www.craigslist.org/view/d/scarborough-clean-bright-bedroom/4RXByZsS5EqjmDtatcJZtT,Clean Bright 1 Bedroom basement apartment All Utilities Included and with separa,,[],Scarborough,1540.0,16.883116883116884,0.22727272727272727,0.15,0.37727272727272726,37.0
Craigslist,2000,1,0.0,,Niagara,5,False,https://www.craigslist.org/view/d/toronto-br-475ft2-all-inclusive/2CxJ5VHJXvDi3vNxn4GAzB,"$2,000 / 1br - 475ft2 - All Inclusive Bathurst and King Penthouse",,[],West End,2400.0,16.666666666666664,0.2243589743589743,0.15,0.3743589743589743,38.0
Kijiji,1425,0,0.0,365.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-eglinton-and-bayview-id-3082/1740332608,"renovated bachelor, eglinton and bayview - ID 3082",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c2/c2e7d44a-4136-42ff-8bdb-c741e1a3df6e?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c2/c2e7d44a-4136-42ff-8bdb-c741e1a3df6e?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/6b/6bef278e-0ee9-4170-a055-2508907bbbeb?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/06/0649336d-82f8-47a0-b454-a0d5c4f6dd3b?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/87/87faf59a-8810-4af4-8d81-5cf29c7dc9a8?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f9/f947ef4e-09d1-4349-9974-ad3ddcc36e14?rule=kijijica-200-jpg']",Scarborough,1700.5263157894738,16.202414113277626,0.21810942075566034,0.15,0.36810942075566033,39.0
Craigslist,2500,1,0.0,,Eglinton East,5,False,https://www.craigslist.org/view/d/bolton-bedroom-bathroom-rivers-edge/jzGcjaE2aMMZC9fBzBFpHX,"1 Bedroom, 2 Bathroom - River's Edge Luxury Condos",,[],Scarborough,2950.0,15.254237288135593,0.20534550195567144,0.15,0.35534550195567144,40.0
Craigslist,1850,1,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/concord-950-portage-pkwy-bedden-1bath/xgcRv4TCLpnuScLQiqqwTa,"950 PORTAGE PKWY #609 - 1BED+DEN/1BATH, BALCONY, LAUNDRY",,[],Downtown,2180.769230769231,15.167548500881841,0.20417853751187093,0.15,0.3541785375118709,41.0
Kijiji,2250,2,0.0,860.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/semi-renovated-two-bedroom-glencairn-marlee-avenue-id-656/1740332635,"Semi-Renovated two bedroom, Glencairn & Marlee Avenue - ID 656",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/61/61a1bbc7-8243-4c4c-8df5-fc5e329faec7?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/61/61a1bbc7-8243-4c4c-8df5-fc5e329faec7?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/38/381a51f3-d50d-4e9b-b4ab-b7d3c13fff6f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/77/77e48fa0-7865-48b4-9fd0-60f2b8b5fa77?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e2/e29d2b3e-4a6f-48ef-8643-0b2f954e13cd?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8e/8e3397ed-7ad3-4f21-a27f-7292f58b5992?rule=kijijica-200-jpg']",Scarborough,2650.95,15.124766593108124,0.20360262721491704,0.15,0.35360262721491703,42.0
